Supplier Name,GSTIN,Contact Person,Email,Phone,Payment Terms,Filing Frequency
Mahesh Steel Traders,27AAPFM4821K1ZV,Mahesh Kulkarni,mahesh@maheshsteel.example,+91 98200 11223,45,Monthly
Precision Components Pvt Ltd,29AADCP7712H1Z9,Latha Rao,latha@precisioncomp.example,+91 80456 77120,30,Monthly
Kaveri Packaging,29AAKFK3390B1ZB,Girish Shetty,girish@kaveripack.example,+91 80223 90881,30,Quarterly
Deccan Freight Carriers,36AAECD5567L1Z7,Ramesh Naidu,ramesh@deccanfreight.example,+91 40667 20114,15,Monthly
Anand Polymers,24AAGCA1188M1ZI,Anand Desai,anand@anandpolymers.example,+91 79220 34567,60,Monthly
Surya Electricals,27AABFS9034J1ZY,Suryakant Patil,suryakant@suryaelec.example,+91 98670 45512,30,Monthly
Nilkanth Traders,27AAJFN2276C1ZC,Nilesh Kanth,nilesh@nilkanth.example,+91 98191 33440,30,Monthly
Ratna Chemicals,24AAECR8890P1ZI,Ratna Iyer,ratna@ratnachem.example,+91 79556 21008,45,Monthly
Metro Motors,27AAACM6543N1Z3,Farhan Shaikh,farhan@metromotors.example,+91 22661 77000,0,Monthly
Vindhya Alloys,23AAFCV4412Q1Z3,Vikram Jain,vikram@vindhyaalloys.example,+91 75512 88090,30,Monthly
Sahyadri Logistics,27AAHFS1129D1ZH,Prasad Joshi,prasad@sahyadrilog.example,+91 20445 66123,30,Monthly
Bharat Office Supplies,27AAFCB2210G1Z8,Bharat Desk,bharat@bharat.example,+91 90000 00000,30,Monthly
Konkan Hardware,27AAGFK5561R1ZL,Konkan Desk,konkan@konkan.example,+91 90000 00000,30,Monthly
Trident Paper Mills,24AAACT3398E1ZE,Trident Desk,trident@trident.example,+91 90000 00000,30,Monthly
Lakshmi Fasteners,33AAJFL7745T1ZE,Lakshmi Desk,lakshmi@lakshmi.example,+91 90000 00000,30,Monthly
Orion Software Services,29AAECO9912W1Z8,Orion Desk,orion@orion.example,+91 90000 00000,30,Monthly
Ganga Textiles,09AAHFG4423Y1ZH,Ganga Desk,ganga@ganga.example,+91 90000 00000,30,Monthly
Pinnacle Safety Gear,27AAKFP6678U1ZU,Pinnacle Desk,pinnacle@pinnacle.example,+91 90000 00000,30,Monthly
Sundar Printing Works,33AABFS2234V1ZT,Sundar Desk,sundar@sundar.example,+91 90000 00000,30,Monthly
Ashoka Civil Works,27AAFCA8801X1ZT,Ashoka Desk,ashoka@ashoka.example,+91 90000 00000,30,Monthly
Nova Instruments,29AADCN3345Z1ZD,Nova Desk,nova@nova.example,+91 90000 00000,30,Monthly
Meridian Housekeeping,27AAGFM1167A1ZO,Meridian Desk,meridian@meridian.example,+91 90000 00000,30,Monthly
Coral Adhesives,24AAECC7789B1ZM,Coral Desk,coral@coral.example,+91 90000 00000,30,Monthly
Yamuna Agro Products,09AAJFY5523C1Z3,Yamuna Desk,yamuna@yamuna.example,+91 90000 00000,30,Monthly
Zenith Tooling,27AABCZ9934D1Z1,Zenith Desk,zenith@zenith.example,+91 90000 00000,30,Monthly
